BEGIN GB-L19 Scripture That Writes Back
PASS GB-L19 walk 102 body=(101.81, 9.95) velocity=(1.52, 0.00) feet=9.204998 hp=6
PASS GB-L19 manuscript Keyling body=(101.81, 9.95) velocity=(1.52, 0.00) feet=9.204998 hp=6
PASS GB-L19 walk 104.5 body=(104.32, 9.95) velocity=(1.50, 0.00) feet=9.204998 hp=6
PASS GB-L19 imperative Turn changes path memory body=(104.32, 9.95) velocity=(0.00, 0.00) feet=9.204998 hp=6
PASS GB-L19 walk 101 body=(101.20, 9.95) velocity=(-1.64, 0.00) feet=9.204998 hp=6
PASS GB-L19 manuscript erases the actually repeated outbound path body=(101.19, 9.95) velocity=(0.00, 0.00) feet=9.204998 hp=6
PASS GB-L19 jump to 100 / 10.8 body=(100.22, 11.55) velocity=(-0.72, -1.00) feet=10.80222 hp=6
PASS GB-L19 tenant acquired Ink body=(100.22, 11.55) velocity=(-0.72, -1.00) feet=10.80222 hp=6
PASS GB-L19 focus Ink body=(100.22, 11.55) velocity=(0.00, 0.00) feet=10.80386 hp=6
PASS GB-L19 walk 98 body=(98.18, 11.55) velocity=(-5.50, 0.00) feet=10.80499 hp=6
PASS GB-L19 short hop authors a revisitable arc body=(94.34, 11.55) velocity=(-1.84, 0.00) feet=10.80412 hp=6
INK SUPPORT Delayed ink stroke
PASS GB-L19 land on own hardened falling stroke body=(95.73, 13.25) velocity=(0.74, -1.00) feet=12.49961 hp=6
PASS GB-L19 new return arc survives correction body=(95.73, 13.25) velocity=(0.74, -1.00) feet=12.49961 hp=6
PASS GB-L19 jump to 92 / 14 body=(92.28, 14.75) velocity=(-0.89, 0.00) feet=14.00495 hp=6
PASS GB-L19 jump to 86 / 9.6 body=(86.29, 10.36) velocity=(-0.94, 0.00) feet=9.604999 hp=6
PASS GB-L19 walk 84.95 body=(85.07, 10.36) velocity=(-6.77, 0.00) feet=9.604999 hp=6
PASS GB-L19 jump to 80 / 9.6 body=(80.30, 10.36) velocity=(-0.94, 0.00) feet=9.604999 hp=6
PASS GB-L19 walk 78.95 body=(79.02, 10.36) velocity=(-1.69, 0.00) feet=9.604999 hp=6
PASS GB-L19 jump to 74 / 9.6 body=(74.30, 10.36) velocity=(-0.93, 0.00) feet=9.604999 hp=6
PASS GB-L19 walk 72.95 body=(73.02, 10.36) velocity=(-5.43, 0.00) feet=9.604999 hp=6
